id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2361699,유명공원에서삼십분,12061638,Hyo,,Dublin City,53.33557581857496,-6.28721673389564,Private room,376,1,0,,,1,365
11418545,TEMPLE BAR-CITY CENTRE,59959560,Cedric,,Dublin City,53.347700062888805,-6.260986590580599,Entire home/apt,430,4,0,,,1,0
7896200,"Beautiful home, Central location!",41632410,Laura,,Dublin City,53.327382979296885,-6.253106077479727,Entire home/apt,149,5,0,,,1,0
13842046,Luxurious Penthouse Apartment,69940751,Robert,,Dublin City,53.34560730483472,-6.234532329942355,Entire home/apt,98,3,1,2016-07-10,0.13,1,0
17166798,wewee,115476154,Ann Marie,,Dublin City,53.3941490476156,-6.310523306337107,Private room,25,1,0,,,1,84
766628,Warm and welcoming - close to DART,4042464,Ruth,,Dublin City,53.38568384218718,-6.155623107792583,Private room,28,5,43,2016-07-17,0.83,1,206
9507277,Aladdin's cave in the city - Bed2,49266120,Ann,,Dublin City,53.32996144251295,-6.298604256479665,Private room,61,1,29,2016-07-17,1.97,2,355
12075424,City Centre Apt. very near Grafton,35198541,Philip,,Dublin City,53.34166771116791,-6.2623811407824475,Entire home/apt,100,1,8,2016-07-11,0.76,1,48
15253519,Bright Penthouse Room in Dublin,97007402,Gabriella,,Dublin City,53.35150816922414,-6.277129132638561,Private room,72,2,0,,,1,8
8011817,Cultural James Joyce House,42190585,Greta,,Dublin City,53.345240990370506,-6.283788373171717,Private room,400,1,0,,,2,0
6914056,Beautiful room in City Center,7116266,Tatiane,,Dublin City,53.33876309977966,-6.27896152286749,Private room,150,3,11,2016-11-24,0.89,1,363
16138294,Beautiful bright apartment in the heart of Dublin,1509649,Natalia,,Dublin City,53.35350336188462,-6.258902770567354,Entire home/apt,130,1,1,2016-12-04,0.39,5,192
15695932,Budget Accommodation Dublin Ireland (Studio 4),101117916,Tom,,Dublin City,53.316851342773305,-6.265824882779198,Entire home/apt,75,2,12,2017-02-05,3.43,4,69
13917911,"Rooftop Urban Sanctuary, Dublin City (entire home)",2828346,Lydia,,Dublin City,53.33559589169919,-6.248733436650619,Entire home/apt,120,2,44,2017-01-31,6.47,1,31
13287446,Close to Christchurch &  Temple Bar,74959772,Anne,,Dublin City,53.34022784843073,-6.273067139533339,Entire home/apt,119,3,47,2017-02-11,5.78,1,262
5718092,Cosy en-suite bedroom in town house,10831187,Moritz,,Dublin City,53.32982586850245,-6.25003323236576,Private room,95,3,0,,,1,0
15466582,"New 2 Bedroom Apartment, 2 bathrooms, city centre",99248375,Ramses,,Dublin City,53.33586312105155,-6.24811766933029,Entire home/apt,125,3,0,,,1,0
12566612,Perfect City Centre 2 bedroom apt.,25384068,Dilip,,Dublin City,53.337999991002434,-6.272705981881094,Entire home/apt,60,2,2,2016-10-24,0.22,1,0
15237202,Stylish Apt in Old Coach House -Dublin City!!!!,96822624,Mark,,Dublin City,53.330123348473585,-6.2508793908955775,Entire home/apt,89,2,17,2017-02-16,3.67,4,59
6946136,F Double room shower ensuite,35844289,Capel Street,,Dublin City,53.346089193947684,-6.269108302783531,Private room,69,1,63,2017-01-29,3.14,6,115
11960414,Double Room in Arty Family Home,63878829,Roisin,,Dublin City,53.36456260341987,-6.307601037989181,Private room,30,1,1,2016-04-08,0.09,1,0
4931656,Double room in cosy corner of Cabra,25405709,Susannah,,Dublin City,53.36284577235944,-6.29530333780173,Private room,53,1,68,2017-02-12,2.78,1,75
13959258,Clean Cosy Centre City Apartment,49352581,Tom,,Dublin City,53.352628227365706,-6.2515701732624045,Entire home/apt,90,3,20,2017-02-16,2.86,9,16
14745699,5 Star Luxury by Trinity,70154490,Gavin & Emma,,Dublin City,53.345405447425115,-6.264500523060156,Entire home/apt,100,1,17,2017-01-01,3.05,12,144
12533865,Modern 2 Bedroom Apt in Dublin City,15996144,Patrick,,Dublin City,53.34066057201783,-6.275843108023992,Entire home/apt,135,3,37,2017-02-06,3.98,5,129
5455984,Room for Ireland v England Rugby ,14182153,Aidan,,Dublin City,53.33123401358286,-6.234280477978854,Private room,100,1,0,,,1,0
6609524,Spacious bedroom with sea views.,34583949,Nuala,,Dublin City,53.32537234806232,-6.208013151079691,Private room,90,1,3,2016-11-13,0.76,2,0
10354799,"Dublin, City Center, Canal View",24579284,J,,Dublin City,53.342164934141735,-6.23545285126643,Private room,70,2,20,2016-11-11,1.65,1,86
4407415,Your private Bedroom-City Center,4972610,Olivier,,Dublin City,53.35363024531716,-6.260058892375999,Private room,70,4,14,2015-11-05,0.59,2,20
15351936,Quirky Victorian terrace in heart of old Dublin,30342250,Mairead,,Dublin City,53.339450623248815,-6.279378564249857,Entire home/apt,135,2,3,2016-11-13,0.76,1,34
14024831,Cosy & modern 2-bed apt close to city centre,7278361,Ornella,,Dublin City,53.334485707788744,-6.274427765367035,Entire home/apt,115,2,23,2017-02-13,3.33,1,119
3211366,Heart of Dublin - New full Apt +,5605429,Eddy,,Dublin City,53.35137521148315,-6.2506250756322075,Entire home/apt,140,1,168,2016-12-02,5.57,4,2
4407393,City Centre Apartment by the River,22878672,Martina,,Dublin City,53.347789862888085,-6.263396350573601,Entire home/apt,95,4,167,2017-02-14,6.00,1,28
13907307,Best Location! Penthouse Room in Temple Bar Dublin,850282,Anastasia,,Dublin City,53.34427459288796,-6.269753815224523,Private room,29,1,54,2017-02-02,7.50,9,299
5931145,The Oscar Wilde studio for 2  - city ctr 10 min,1557844,Liam,,Dublin City,53.357656991436976,-6.292299526223982,Entire home/apt,92,3,41,2017-02-13,1.91,8,335
6111384,Victorian  City Centre 3 Storey Hse,13784709,Thecla,,Dublin City,53.32274831142986,-6.262449271544953,Entire home/apt,300,9,14,2016-08-20,0.71,1,152
15188127,Spacious Attic Room in North Dublin City,21421515,Vilene,,Dublin City,53.39188911732147,-6.161606936399018,Private room,70,2,5,2017-02-12,1.13,3,56
6029465,Terraced 19th century house,29494768,Darach,,Dublin City,53.35406807035085,-6.288276192593262,Entire home/apt,200,2,11,2016-09-04,0.59,1,0
16318629,Apartment in Dublin 2 City Centre,45726542,Sami,,Dublin City,53.337848533770675,-6.24071793233467,Entire home/apt,90,1,2,2017-02-16,2,1,3
14074028,Rathgar accommodation,84422306,Ollie,,Dublin City,53.314845708953534,-6.27675842244558,Private room,50,3,3,2016-10-03,0.48,3,332
13074605,"Attractive location close to the city, lovely room",32201703,Amie,,Dublin City,53.332922339953406,-6.261153319209052,Private room,40,32,6,2016-11-20,1.08,1,55
12779694,Modern Room in Great Location,12180436,Lisa,,Dublin City,53.338172622500736,-6.232025210438685,Private room,69,2,5,2016-10-02,0.52,1,23
7274675,Quiet house in convenient location,21295333,Cecilia,,Dublin City,53.35234596586396,-6.287021155712695,Entire home/apt,100,4,0,,,2,0
17023165,Two Story House for Fun in Dublin City,22150065,Brian,,Dublin City,53.39182983486329,-6.227458202606433,Entire home/apt,220,1,0,,,29,362
15253695,Two Neighbor Apts-Sleeps 8-4Min Walk to Temple Bar,22801049,Oly & Zoe,,Dublin City,53.34210522010567,-6.263378924945894,Entire home/apt,375,2,1,2017-02-05,1,10,122
4470132,#9 - One bedroom flat,23191772,Bernard,,Dublin City,53.32425674837907,-6.266106059826136,Private room,79,1,57,2017-01-06,2.20,14,356
16908488,"Amazing Double Room Apt. City Center, St Patricks",38072348,Juan Pablo,,Dublin City,53.338306120136515,-6.2734186877027,Entire home/apt,70,2,1,2017-02-15,1,3,33
17219788,Bright Cosy DOUBLE BEDROOM right in CITY CENTRE,115837799,Anuk,,Dublin City,53.35336206620332,-6.259575476611703,Private room,50,1,0,,,2,61
5390518,Cosy house close to Dublins Heart,27942737,Ian,,Dublin City,53.35900569997468,-6.282790797929699,Entire home/apt,119,2,99,2017-01-01,4.25,1,141
747976,Chateau de Jimmy in Beaumont Dublin,3927774,James,,Dublin City,53.391621138514175,-6.230126663365227,Private room,34,3,62,2017-01-05,1.85,1,73
9912531,Sweet Place,50882060,Angel & Sebastien,,Dublin City,53.33386014354645,-6.275886746349201,Entire home/apt,110,2,6,2016-06-05,0.49,1,48
17285337,1 Bed Modern Apartment in Dublin City Centre,1500938,Jay,,Dublin City,53.35345040694097,-6.254868769859487,Entire home/apt,100,2,0,,,3,14
14926044,Double and Twin room Combo,84218730,Sarah,,Dublin City,53.37063044632683,-6.316397324753338,Entire home/apt,120,1,7,2016-11-11,1.36,2,349
16662753,Cosy Flat Shared B3 - In the heart of City Centre,47251894,MyAccommod,,Dublin City,53.358186323633504,-6.249500775129938,Shared room,25,1,0,,,15,344
9896184,The house in front of Croke Park,1257364,Dzmitry,,Dublin City,53.35801617279063,-6.252879708110891,Entire home/apt,361,4,1,2016-05-01,0.10,1,0
13828348,2 Bedroom Apartment 5 min walk from Temple Bar,26224119,Lloyd,,Dublin City,53.35034422040109,-6.270039912484017,Entire home/apt,120,1,12,2017-01-23,1.61,10,331
