id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21998954,Barton Avenue Waterfront,160635061,Karen,,Glamorgan/Spring Bay,-42.531747561629714,147.9075267362768,Entire home/apt,251,2,3,2018-01-23,1.58,2,352
22001845,Allison's Hideaway,160661572,Deb,,Hobart,-42.88270316384312,147.31344922386694,Entire home/apt,74,2,8,2018-02-11,5.11,1,55
22002545,Oceanview sunset - Spacious family entertainer,32251001,Jen,,Sorell,-42.86568740496266,147.61429335455904,Entire home/apt,150,1,17,2018-02-14,9.62,1,80
22002762,"Cygnet Old Bank, Huon Valley, Luxury Sterling Room",160670171,Sharon,,Huon Valley,-43.16094273529869,147.07626130711583,Private room,230,1,4,2018-02-08,2.31,3,352
22002830,Sandy Bay Villa,10007390,Laura,,Hobart,-42.91481031637399,147.34159676804612,Entire home/apt,200,2,3,2018-01-15,1.96,6,0
22004437,Sunny Gum- 2,104205255,Steven  Lorise,,Central Coast,-41.12043173982593,146.0640352882631,Entire home/apt,125,1,0,,,3,0
22013711,Sunny Gum- 3,104205255,Steven  Lorise,,Central Coast,-41.122295049405466,146.06444079321278,Entire home/apt,125,1,2,2018-01-28,1.25,3,237
22014429,Tramway Lodge,22720842,Stephanie,,Kingborough,-43.04584820601207,147.2329090875534,Entire home/apt,89,2,3,2018-01-10,1.70,1,80
22014808,Daily rental house(日租房),160283433,Judy,,Hobart,-42.893564622410736,147.3183622171253,Private room,450,1,5,2018-02-09,2.88,5,0
22016370,Studio in the Heart of Historic Battery Point,68494126,Susie,,Hobart,-42.891059333216376,147.3329207169367,Entire home/apt,128,2,3,2018-02-13,3,1,307
22018421,"""Chapman Terrace on Charles"" - free wifi",92557519,Donna,,Launceston,-41.442563487814795,147.1412549211291,Entire home/apt,220,2,5,2018-01-22,2.78,34,138
22019224,Possums Adventure Bay Bruny Island,81976519,Don,,Kingborough,-43.358814279757965,147.32545097017925,Entire home/apt,195,2,1,2018-02-13,1,4,344
22019860,"Private Bedroom, 10 min drive to centre of Hobart",100837817,Ben And Hayley,,Glenorchy,-42.8379772637238,147.31383075912348,Private room,31,14,9,2018-01-13,3.65,2,0
22032670,"Beach-side Howrah, free parking/wifi/breakfast",28192929,Annette,,Clarence,-42.88312580216247,147.40822205591593,Entire home/apt,99,1,9,2018-02-16,7.50,1,75
22034489,Gasworks-Central Hobart Apartment,160914523,Sarah,,Hobart,-42.88012398563986,147.3334043379089,Entire home/apt,251,2,12,2018-01-27,5.00,1,327
22034497,Cygnet Farm Stay 2,128302503,Matthew,,Huon Valley,-43.14075349927477,147.06562579201326,Private room,10,7,1,2018-01-11,0.79,5,139
22035298,"Hobart CBD, Mt Wellington Views, Convenient",160921748,Brandon,,Hobart,-42.89324105748702,147.3071914690362,Private room,180,2,0,,,1,0
22036185,Inner city apartment in the heart of Hobart,103646919,Samra,,Hobart,-42.884689025282576,147.3227248536622,Entire home/apt,251,2,6,2018-01-21,3.33,2,74
22036490,"Modern, spacious studio close to CBD and airport",70273849,James And Cristiane,,Clarence,-42.84679414286273,147.34196471725622,Private room,84,2,4,2018-01-16,1.97,1,349
22036497,Goodwood Shed,158322686,Martin,,Glenorchy,-42.82739719436025,147.29209023542606,Entire home/apt,74,1,11,2018-02-12,6.73,1,137
22036634,"Green Ponds Guest House ""Garden"" Double Room",38521873,Sonia,,King Island,-39.93130384114656,143.85331278592855,Private room,165,1,0,,,7,364
22038082,HOBART LUXURY AND SUSTAINABILITY - HAVE IT ALL.,25511005,Natalie: Inside Hobart,,Hobart,-42.89389557532704,147.314271685432,Entire home/apt,220,2,1,2018-02-02,1,13,324
22038222,The Derby Lodge 'Cabin Stay',160941433,The Derby Lodge,,Dorset,-41.15016500970505,147.80238256990316,Entire home/apt,259,2,0,,,4,326
22039825,Wharf Road Studios - The Cabin,92765139,Anne,,Circular Head,-40.761539804205874,145.29595091052462,Entire home/apt,94,1,4,2018-02-11,4,1,22
22049076,Bay of Fires Magic!,78530685,Julie,,Break O'Day,-41.252235780212246,148.31050188407804,Entire home/apt,93,2,1,2018-01-28,1,1,167
22049188,Meg's Place,161036512,Meegan,,West Coast,-42.147945455797,145.32929537916934,Entire home/apt,150,1,13,2018-02-04,7.65,1,282
22049246,Dolphin Sands Beachfront Retreat,12199428,Anne,,Glamorgan/Spring Bay,-42.099315822268295,148.0899815387798,Entire home/apt,264,2,0,,,3,341
22050155,Strahan House,161045450,Anne,,West Coast,-42.16151179869199,145.32787543453458,Entire home/apt,251,2,2,2018-01-02,1.15,1,326
22050657,"""Rosewood"" the farm close to the beach",161049301,Tony & Michelle,,Waratah/Wynyard,-41.169949492337864,145.67188893256505,Entire home/apt,210,1,7,2018-02-04,4.29,1,63
22050891,King Island Green Ponds Cottage,38521873,Sonia,,King Island,-39.9325220511336,143.85331391724938,Entire home/apt,220,1,0,,,7,329
22051269,Daily rental house(日租房),160283433,Judy,,Hobart,-42.89186906213633,147.31958239148634,Private room,65,1,2,2018-02-08,1.18,5,0
22052166,Ulverstone River Edge Holiday Apartments  No 3,156120813,Tony,,Central Coast,-41.15549669228762,146.16469464713367,Entire home/apt,230,1,1,2017-12-08,0.42,4,329
22052219,"Green Ponds Guest House ""Settlers"" Single Room",38521873,Sonia,,King Island,-39.93082040651065,143.8525265920931,Private room,165,1,0,,,7,365
22052445,Ulverstone River Edge Holiday Apartments No 4,156120813,Tony,,Central Coast,-41.15539370448736,146.16682324969963,Entire home/apt,180,1,2,2018-01-28,0.95,4,330
22052594,Ulverstone River Edge Holiday Apartments No 5,156120813,Tony,,Central Coast,-41.154945365227874,146.16657341801135,Entire home/apt,230,1,1,2017-12-28,0.58,4,337
22053332,White Beach Holiday Home,161073830,Clem,,Tasman,-43.11611141949038,147.7372116507708,Entire home/apt,200,2,5,2018-01-12,2.83,1,365
22053702,Daily rental house (日租房),160283433,Judy,,Hobart,-42.89146496454368,147.31919506946917,Private room,65,1,5,2018-02-06,3.06,5,0
22063481,Handsmooth Cottage,140684196,Ann-Marie,,Hobart,-42.88667755024413,147.31989296230364,Entire home/apt,251,1,1,2018-01-01,0.63,2,359
22065041,Spacious Well Appointed Villa,130839986,James,,Dorset,-41.006072784754245,147.39488045329134,Entire home/apt,189,1,1,2018-01-28,1,16,281
22065532,New Architect designed Coastal retreat-water views,161177627,Caroline And Matt,,Kingborough,-42.99368941988973,147.32820415644687,Entire home/apt,241,2,4,2018-01-17,2.26,1,146
22066012,Ornee cottage Campbell Town Tasmania,161182072,Alan And Paula,,Northern Midlands,-41.9355066035095,147.49052083041673,Entire home/apt,123,1,7,2018-02-11,4.12,1,146
22066458,Small off-grid cabin looking over Sommers Bay,21015048,Mark,,Tasman,-42.97681185751067,147.83863567749196,Entire home/apt,65,1,4,2018-01-28,2.03,2,16
22067300,ADELL,161188442,Paulette,,Hobart,-42.90677726903698,147.3421219148074,Entire home/apt,269,2,5,2018-01-20,2.73,1,89
22068138,Garden Cottage,159903506,Bruce,,Hobart,-42.904646786656166,147.33345907310024,Private room,84,2,3,2017-12-31,1.61,1,53
22069657,Family friendly Contemporary home with water views,161212945,Kim And Matt,,Hobart,-42.90629259303722,147.32501675082662,Entire home/apt,295,2,2,2018-02-11,2,1,152
22069890,Bridport Golf on Your Doorstep,130839986,James,,Dorset,-40.99947705495156,147.38589304901072,Entire home/apt,203,1,1,2018-01-20,1,16,298
22083716,Dialled In Derby,75284906,Annie & Rob,,Dorset,-41.14227828158912,147.79357691703393,Entire home/apt,149,1,2,2018-01-29,2,1,159
22086502,Rural retreat less than 15 minutes to Hobart CBD.,161340272,Sue,,Hobart,-42.91292488894576,147.27455461541018,Entire home/apt,171,3,4,2018-02-04,2.18,1,85
22087638,Family Home with beautiful views Mornington,161350501,Heather,,Clarence,-42.86369598871865,147.3849923683175,Entire home/apt,106,2,4,2017-12-31,1.85,1,0
22090173,"Seaside Retreat - luxury holiday home, ocean views",119205969,Sue,,Central Coast,-41.090577652471865,146.01829133233642,Entire home/apt,140,2,0,,,2,316
22091384,Unit 1 Claire cottage,83444358,Marian,,King Island,-39.92306230739515,143.85698460174152,Entire home/apt,81,1,1,2018-02-10,1,1,342
22091402,Apartment in character cottage,15103825,Mairi,,Launceston,-41.41759046228041,147.1366677392299,Entire home/apt,71,1,12,2018-02-04,6.00,3,280
22092069,LAGOON BEACH SHACK,138109838,Ros,,George Town,-41.067796502911094,146.80167623051898,Entire home/apt,130,4,1,2018-01-16,0.91,1,0
22106573,Barton Avenue Cabin,160635061,Karen,,Glamorgan/Spring Bay,-42.53025289236958,147.9080982972457,Entire home/apt,150,2,3,2018-01-12,1.38,2,178
22107252,Bellview Estate - 4 Bell Street,161498827,Belinda,,Launceston,-41.45539018199763,147.14659965884255,Entire home/apt,380,2,3,2018-02-15,1.30,2,353
22107358,Family home with large backyard off street parking,161499743,Dianne,,Launceston,-41.49097642434647,147.17527504099283,Entire home/apt,133,3,4,2018-02-10,2.55,1,122
22107456,Jewel in the Crown - free wifi,92557519,Donna,,Launceston,-41.44627388548094,147.1384596467452,Entire home/apt,290,2,3,2018-01-14,1.84,34,166
22108219,The Derby Gravity Shack - Great For MTB Riders,50935606,Cristina,,Dorset,-41.147351989232824,147.80179861358081,Entire home/apt,190,2,7,2018-01-21,2.88,1,236
22109950,Strahan Getaway,65428360,Pam,,West Coast,-42.15034022801462,145.3177609767796,Entire home/apt,150,2,10,2018-01-22,4.55,3,48
22112072,The Derby Lodge '3 bedroom Lodge stay',160941433,The Derby Lodge,,Dorset,-41.15046983653431,147.8039384538953,Entire home/apt,475,2,0,,,4,330
